"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID","Species_group","Admitted_date"
"1","4/1/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","49_ANHU","Non-Selasphorus",1991-04-01
"2","3/9/2014","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4890_ANHU","Non-Selasphorus",2014-03-09
"3","3/28/2011","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","window hit","Non-selasphorus spp.","4141_ANHU","Non-Selasphorus",2011-03-28
"4","4/15/1997","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","1210_ALHU","Selasphorus",1997-04-15
"5","1/18/2016","Died","malibu","Yes","Selasphorus","Male","adult-like",3,"Winter","found on the ground","Selasphorus spp.","6620_ALHU","Selasphorus",2016-01-18
"6","1/2/2015","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","5144_ANHU","Non-Selasphorus",2015-01-02
"7","4/13/2014","Released","malibu","No","Selasphorus","Female-like ","adult-like",1,"Spring","unknown","Selasphorus spp.","6270_ALHU","Selasphorus",2014-04-13
"8","4/16/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3257_ANHU","Non-Selasphorus",2007-04-16
"9","5/7/1998","Released","Lindsey","Yes","Selasphorus","unknown","Nestling",0,"Spring","caught by domestic animal","Selasphorus spp.","1408_ALHU","Selasphorus",1998-05-07
"10","6/4/2011","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","unknown","Non-selasphorus spp.","4236_ANHU","Selasphorus",2011-06-04
"11","4/9/2014","Died","malibu","No","BCHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6087_BCHU","Non-Selasphorus",2014-04-09
"12","4/16/2003","Died","Lindsey","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","2453_ALHU","Selasphorus",2003-04-16
"13","6/18/2008","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","3529_ANHU","Selasphorus",2008-06-18
"14","10/2/2001","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Fall","unknown","Non-selasphorus spp.","2125_ANHU","Non-Selasphorus",2001-10-02
"15","6/6/2015","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","5364_ANHU","Non-Selasphorus",2015-06-06
"16","6/5/2014","Released","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","6127_ALHU","Selasphorus",2014-06-05
"17","12/11/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","3837_ANHU","Non-Selasphorus",2009-12-11
"18","6/25/1993","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","502_ANHU","Non-Selasphorus",1993-06-25
"19","6/21/2008","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","3534_ANHU","Non-Selasphorus",2008-06-21
"20","4/24/2010","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","3931_ANHU","Non-Selasphorus",2010-04-24
"21","8/5/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","533_ANHU","Non-Selasphorus",1993-08-05
"22","4/25/1992","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","264_ANHU","Non-Selasphorus",1992-04-25
"23","12/13/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","5140_ANHU","Non-Selasphorus",2014-12-13
"24","3/20/2007","Died","Lindsey","Yes","Selasphorus","Female-like ","adult-like",3,"Spring","window hit","Selasphorus spp.","3226_ALHU","Selasphorus",2007-03-20
"25","11/1/2005","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found inside","Non-selasphorus spp.","2979_ANHU","Non-Selasphorus",2005-11-01
"26","7/25/1995","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","904_ANHU","Non-Selasphorus",1995-07-25
"27","1/2/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","1_ANHU","Non-Selasphorus",1991-01-02
"28","3/26/2014","Released","malibu","Yes","Selasphorus","Female-like ","adult-like",1,"Spring","unknown","Selasphorus spp.","6268_ALHU","Selasphorus",2014-03-26
"29","6/8/2008","Died","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","3516_ANHU","Non-Selasphorus",2008-06-08
"30","4/8/2008","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","3460_ANHU","Non-Selasphorus",2008-04-08
"31","6/13/2016","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","5644_ANHU","Non-Selasphorus",2016-06-13
"32","8/13/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1701_ANHU","Non-Selasphorus",1999-08-13
"33","4/2/2014","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6079_ANHU","Non-Selasphorus",2014-04-02
"34","12/30/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Winter","window hit","Selasphorus spp.","6557_ALHU","Selasphorus",2015-12-30
"35","5/8/2016","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","5601_ANHU","Non-Selasphorus",2016-05-08
"36","9/24/2016","Died","Lindsey","No","ANHU","Male","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","5715_ANHU","Non-Selasphorus",2016-09-24
"37","2/28/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","nest-related","Non-selasphorus spp.","2622_ANHU","Non-Selasphorus",2004-02-28
"38","1/2/2015","Died","malibu","Yes","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","6337_ANHU","Non-Selasphorus",2015-01-02
"39","6/24/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1674_ANHU","Non-Selasphorus",1999-06-24
"40","5/1/2004","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","2681_ANHU","Non-Selasphorus",2004-05-01
"41","7/9/1993","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","517_ANHU","Non-Selasphorus",1993-07-09
"42","12/31/2012","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",13,"Winter","found on the ground","Non-selasphorus spp.","4588_ANHU","Non-Selasphorus",2012-12-31
"43","9/19/2016","Released","Santa Barbara","No","ANHU","Female-like ","adult-like",0,"Fall","unknown","Non-selasphorus spp.","6924_ANHU","Non-Selasphorus",2016-09-19
"44","3/18/2015","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","5217_ANHU","Selasphorus",2015-03-18
"45","5/11/1996","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","unknown","Non-selasphorus spp.","1049_ANHU","Non-Selasphorus",1996-05-11
"46","5/18/2015","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","5324_ANHU","Selasphorus",2015-05-18
"47","3/27/2016","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","5551_ANHU","Non-Selasphorus",2016-03-27
"48","5/28/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","3297_ANHU","Non-Selasphorus",2007-05-28
"49","5/11/2014","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","4998_ANHU","Selasphorus",2014-05-11
"50","7/4/2016","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","5670_ANHU","Non-Selasphorus",2016-07-04
"51","4/1/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","window hit","Non-selasphorus spp.","48_ANHU","Non-Selasphorus",1991-04-01
"52","2/5/2013","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","4603_ANHU","Non-Selasphorus",2013-02-05
"53","7/3/1992","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","caught by domestic animal","Selasphorus spp.","335_ALHU","Selasphorus",1992-07-03
"54","3/20/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","4397_ANHU","Non-Selasphorus",2012-03-20
"55","4/8/2003","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","2445_ANHU","Non-Selasphorus",2003-04-08
"56","4/13/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1380_ANHU","Selasphorus",1998-04-13
"57","3/16/1996","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","983_ANHU","Non-Selasphorus",1996-03-16
"58","11/27/2015","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","window hit","Non-selasphorus spp.","5454_ANHU","Non-Selasphorus",2015-11-27
"59","9/10/2010","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","4057_ANHU","Non-Selasphorus",2010-09-10
"60","10/19/2007","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","window hit","Non-selasphorus spp.","3380_ANHU","Non-Selasphorus",2007-10-19
"61","6/6/2015","Died","malibu","No","Selasphorus","unknown","Nestling",1,"Summer","nest-related","Selasphorus spp.","6449_ALHU","Selasphorus",2015-06-06
"62","3/3/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","23_ANHU","Non-Selasphorus",1991-03-03
"63","4/10/2016","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5574_ANHU","Non-Selasphorus",2016-04-10
"64","6/23/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2730_ANHU","Non-Selasphorus",2004-06-23
"65","7/1/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","2737_ANHU","Non-Selasphorus",2004-07-01
"66","3/17/2003","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","2417_ANHU","Non-Selasphorus",2003-03-17
"67","5/10/2016","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","5604_ANHU","Non-Selasphorus",2016-05-10
"68","7/19/2012","Released","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4535_ANHU","Non-Selasphorus",2012-07-19
"69","6/30/2013","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","5869_ALHU","Selasphorus",2013-06-30
"70","8/17/1996","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","caught by domestic animal","Selasphorus spp.","1114_ALHU","Selasphorus",1996-08-17
"71","3/7/2011","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4116_ANHU","Non-Selasphorus",2011-03-07
"72","3/3/1996","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","window hit","Non-selasphorus spp.","964_ANHU","Non-Selasphorus",1996-03-03
"73","1/19/2009","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","nest-related","Non-selasphorus spp.","3605_ANHU","Non-Selasphorus",2009-01-19
"74","4/5/2014","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4939_ANHU","Non-Selasphorus",2014-04-05
"75","4/30/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","632_ANHU","Non-Selasphorus",1994-04-30
"76","1/3/2013","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","4589_ANHU","Non-Selasphorus",2013-01-03
"77","7/25/2008","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","3559_ANHU","Non-Selasphorus",2008-07-25
"78","7/23/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Summer","unknown","Non-selasphorus spp.","1484_ANHU","Selasphorus",1998-07-23
"79","8/19/1991","Released","Lindsey","No","BCHU","Female-like ","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","168_BCHU","Non-Selasphorus",1991-08-19
"80","4/25/1996","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","nest-related","Non-selasphorus spp.","1034_ANHU","Non-Selasphorus",1996-04-25
"81","3/24/1995","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","792_ANHU","Selasphorus",1995-03-24
"82","1/4/2013","Died","malibu","No","ANHU","Male","adult-like",0,"Winter","unknown","Non-selasphorus spp.","5729_ANHU","Non-Selasphorus",2013-01-04
"83","5/7/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","461_ANHU","Non-Selasphorus",1993-05-07
"84","4/11/2015","Died","malibu","No","BCHU","Male","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6385_BCHU","Non-Selasphorus",2015-04-11
"85","5/6/2013","Released","malibu","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","unknown","Non-selasphorus spp.","5805_ANHU","Selasphorus",2013-05-06
"86","4/24/2001","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2025_ANHU","Non-Selasphorus",2001-04-24
"87","4/16/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","1386_ANHU","Non-Selasphorus",1998-04-16
"88","4/4/2012","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4414_ANHU","Non-Selasphorus",2012-04-04
"89","2/10/2005","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","2796_ANHU","Non-Selasphorus",2005-02-10
"90","5/30/2002","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","2263_ANHU","Selasphorus",2002-05-30
"91","6/2/2015","Died","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","5354_ANHU","Non-Selasphorus",2015-06-02
"92","3/11/2014","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6216_ANHU","Non-Selasphorus",2014-03-11
"93","5/27/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5952_ALHU","Selasphorus",2013-05-27
"94","10/14/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","window hit","Non-selasphorus spp.","1914_ANHU","Non-Selasphorus",2000-10-14
"95","6/29/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Summer","unknown","Non-selasphorus spp.","3771_ANHU","Non-Selasphorus",2009-06-29
"96","6/18/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","680_ANHU","Non-Selasphorus",1994-06-18
"97","4/9/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","604_ANHU","Non-Selasphorus",1994-04-09
"98","3/23/2016","Released","malibu","No","Selasphorus","Female-like ","adult-like",1,"Spring","unknown","Selasphorus spp.","6646_ALHU","Selasphorus",2016-03-23
"99","3/9/2013","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","4634_ANHU","Selasphorus",2013-03-09
"100","5/31/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1428_ANHU","Non-Selasphorus",1998-05-31
"101","3/20/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2419_ANHU","Non-Selasphorus",2003-03-20
"102","5/8/2001","Died","Lindsey","No","Non-selasphorus","unknown","adult-like",10,"Spring","found on the ground","Non-selasphorus spp.","2040_COHU","Selasphorus",2001-05-08
"103","5/9/2015","Released","malibu","No","Selasphorus","unknown","Nestling",0,"Spring","found on the ground","Selasphorus spp.","6595_ALHU","Selasphorus",2015-05-09
"104","6/13/2014","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6292_ALHU","Selasphorus",2014-06-13
"105","4/1/2014","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","window hit","Non-selasphorus spp.","4929_ANHU","Non-Selasphorus",2014-04-01
"106","2/13/2014","Died","malibu","Yes","ANHU","Female-like ","adult-like",0,"Winter","unknown","Non-selasphorus spp.","6040_ANHU","Non-Selasphorus",2014-02-13
"107","5/23/2013","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5948_ALHU","Selasphorus",2013-05-23
"108","5/11/2014","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6224_ALHU","Selasphorus",2014-05-11
"109","5/4/2007","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","3278_ANHU","Non-Selasphorus",2007-05-04
"110","7/12/1994","Released","Lindsey","Yes","Selasphorus","unknown","Nestling",2,"Summer","nest-related","Selasphorus spp.","703_ALHU","Selasphorus",1994-07-12
"111","8/12/1997","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1299_ANHU","Non-Selasphorus",1997-08-12
"112","6/24/2010","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","4000_ANHU","Non-Selasphorus",2010-06-24
"113","3/23/2016","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6650_ALHU","Selasphorus",2016-03-23
"114","6/29/2008","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","3544_ANHU","Selasphorus",2008-06-29
"115","6/26/2003","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Summer","found on the ground","Non-selasphorus spp.","2525_ANHU","Selasphorus",2003-06-26
"116","3/20/2016","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","5539_ANHU","Selasphorus",2016-03-20
"117","4/19/2015","Died","Lindsey","No","Selasphorus","Male","adult-like",0,"Spring","found on the ground","Selasphorus spp.","5282_ALHU","Selasphorus",2015-04-19
"118","6/18/2013","Died","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4767_ANHU","Non-Selasphorus",2013-06-18
"119","6/15/2003","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",2,"Summer","nest-related","Non-selasphorus spp.","2513_ANHU","Selasphorus",2003-06-15
"120","4/26/1998","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1402_ANHU","Non-Selasphorus",1998-04-26
"121","7/5/2015","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Summer","found on the ground","Non-selasphorus spp.","5409_ANHU","Selasphorus",2015-07-05
"122","3/24/1997","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","1191_ANHU","Non-Selasphorus",1997-03-24
"123","1/31/2015","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","5162_ANHU","Non-Selasphorus",2015-01-31
"124","6/18/2014","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6309_ALHU","Selasphorus",2014-06-18
"125","6/13/2014","Died","Lindsey","No","ANHU","Male","adult-like",0,"Summer","unknown","Non-selasphorus spp.","5045_ANHU","Non-Selasphorus",2014-06-13
"126","5/10/2010","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","window hit","Non-selasphorus spp.","3950_ANHU","Non-Selasphorus",2010-05-10
"127","8/11/2006","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found inside","Non-selasphorus spp.","3150_ANHU","Non-Selasphorus",2006-08-11
"128","6/13/2006","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","3105_ANHU","Selasphorus",2006-06-13
"129","3/22/2003","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","2420_ALHU","Selasphorus",2003-03-22
"130","3/29/2009","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","3667_ANHU","Non-Selasphorus",2009-03-29
"131","4/8/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","2444_ANHU","Non-Selasphorus",2003-04-08
"132","4/27/2002","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2225_ANHU","Non-Selasphorus",2002-04-27
"133","6/1/1993","Released","Lindsey","No","Selasphorus","unknown","Nestling",0,"Summer","nest-related","Selasphorus spp.","485_ALHU","Selasphorus",1993-06-01
"134","5/16/2011","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","4208_ANHU","Non-Selasphorus",2011-05-16
"135","9/13/2008","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Fall","unknown","Non-selasphorus spp.","3574_ANHU","Non-Selasphorus",2008-09-13
"136","4/22/2011","Died","Lindsey","Yes","Selasphorus","Female-like ","adult-like",1,"Spring","window hit","Selasphorus spp.","4183_ALHU","Selasphorus",2011-04-22
"137","9/2/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","caught by domestic animal","Non-selasphorus spp.","2761_ANHU","Non-Selasphorus",2004-09-02
"138","6/21/2002","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","2277_ANHU","Non-Selasphorus",2002-06-21
"139","6/20/2016","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6763_ALHU","Selasphorus",2016-06-20
"140","6/12/1996","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Summer","nest-related","Non-selasphorus spp.","1075_ANHU","Selasphorus",1996-06-12
"141","7/9/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","516_ANHU","Non-Selasphorus",1993-07-09
"142","5/8/1997","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","1229_ANHU","Non-Selasphorus",1997-05-08
"143","2/13/2008","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","unknown","Non-selasphorus spp.","3416_ANHU","Non-Selasphorus",2008-02-13
"144","8/5/2009","Released","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","3803_ANHU","Non-Selasphorus",2009-08-05
"145","6/1/1996","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1062_ANHU","Non-Selasphorus",1996-06-01
"146","5/16/2016","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","5608_ANHU","Selasphorus",2016-05-16
"147","4/6/1999","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","1578_ANHU","Selasphorus",1999-04-06
"148","8/1/1996","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","window hit","Selasphorus spp.","1109_ALHU","Selasphorus",1996-08-01
"149","6/16/2015","Died","malibu","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","6461_ANHU","Selasphorus",2015-06-16
"150","6/8/2012","Died","Lindsey","Yes","ANHU","Male","adult-like",4,"Summer","window hit","Non-selasphorus spp.","4487_ANHU","Non-Selasphorus",2012-06-08
"151","3/16/1995","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",1,"Spring","window hit","Selasphorus spp.","778_RUHU","Selasphorus",1995-03-16
"152","1/16/2014","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","4862_ANHU","Non-Selasphorus",2014-01-16
"153","4/19/1999","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",2,"Spring","nest-related","Non-selasphorus spp.","1599_ANHU","Selasphorus",1999-04-19
"154","5/16/1999","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","1632_ANHU","Selasphorus",1999-05-16
"155","3/28/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","2645_ANHU","Non-Selasphorus",2004-03-28
"156","3/20/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4395_ANHU","Non-Selasphorus",2012-03-20
"157","3/20/2005","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2824_ANHU","Non-Selasphorus",2005-03-20
"158","5/8/2005","Released","Lindsey","No","ANHU","Female-like ","adult-like",7,"Spring","nest-related","Non-selasphorus spp.","2873_ANHU","Non-Selasphorus",2005-05-08
"159","9/27/2015","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","5441_ANHU","Non-Selasphorus",2015-09-27
"160","7/12/1998","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","1465_ANHU","Non-Selasphorus",1998-07-12
"161","6/7/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","5962_ALHU","Selasphorus",2013-06-07
"162","4/29/2014","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","window hit","Non-selasphorus spp.","4978_ANHU","Non-Selasphorus",2014-04-29
