"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID","Species_group","Admitted_date"
"3780","2/11/2015","Released","Lindsey","No","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","5172_ANHU","Non-Selasphorus",2015-02-11
"3781","7/24/2012","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","unknown","Non-selasphorus spp.","4543_ANHU","Non-Selasphorus",2012-07-24
"3782","3/7/2006","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","3020_ANHU","Selasphorus",2006-03-07
"3783","8/31/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","3368_ANHU","Non-Selasphorus",2007-08-31
"3784","6/8/2008","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",2,"Summer","found on the ground","Non-selasphorus spp.","3515_ANHU","Selasphorus",2008-06-08
"3785","6/9/2014","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","5040_ANHU","Non-Selasphorus",2014-06-09
"3786","1/16/2015","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","5152_ANHU","Non-Selasphorus",2015-01-16
"3787","7/16/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found inside","Non-selasphorus spp.","1690_ANHU","Non-Selasphorus",1999-07-16
"3788","10/17/2005","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","2975_ANHU","Non-Selasphorus",2005-10-17
"3789","4/27/2011","Released","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found inside","Non-selasphorus spp.","4188_ANHU","Non-Selasphorus",2011-04-27
"3790","9/29/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","5112_ANHU","Non-Selasphorus",2014-09-29
"3791","1/29/2005","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","2790_ANHU","Non-Selasphorus",2005-01-29
"3792","11/18/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","window hit","Non-selasphorus spp.","734_ANHU","Non-Selasphorus",1994-11-18
"3793","5/16/1997","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","1238_ANHU","Selasphorus",1997-05-16
"3794","5/26/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","650_ANHU","Non-Selasphorus",1994-05-26
"3795","12/28/2013","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","found inside","Non-selasphorus spp.","4850_ANHU","Non-Selasphorus",2013-12-28
"3796","6/18/2005","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",2,"Summer","found on the ground","Non-selasphorus spp.","2923_ANHU","Selasphorus",2005-06-18
"3797","9/28/2009","Died","Lindsey","No","ANHU","Male","adult-like",0,"Fall","found inside","Non-selasphorus spp.","3820_ANHU","Non-Selasphorus",2009-09-28
"3798","4/1/1995","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","nest-related","Non-selasphorus spp.","803_ANHU","Non-Selasphorus",1995-04-01
"3799","7/19/2013","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","4794_ANHU","Non-Selasphorus",2013-07-19
"3800","6/28/2015","Released","malibu","No","Selasphorus","Female-like ","adult-like",-207,"Summer","unknown","Selasphorus spp.","6586_ALHU","Selasphorus",2015-06-28
"3801","11/3/1992","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found inside","Non-selasphorus spp.","363_ANHU","Non-Selasphorus",1992-11-03
"3802","5/18/2011","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4209_ANHU","Non-Selasphorus",2011-05-18
"3803","6/9/2009","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Summer","nest-related","Non-selasphorus spp.","3753_ANHU","Selasphorus",2009-06-09
"3804","3/22/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5758_ALHU","Selasphorus",2013-03-22
"3805","1/16/2010","Died","Lindsey","No","ANHU","Female-like ","adult-like",16,"Winter","found on the ground","Non-selasphorus spp.","3848_ANHU","Non-Selasphorus",2010-01-16
"3806","4/25/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","3266_ANHU","Non-Selasphorus",2007-04-25
"3807","2/27/2003","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","2397_ANHU","Non-Selasphorus",2003-02-27
"3808","6/1/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","112_ANHU","Selasphorus",1991-06-01
